;index;YEAR;VAR1_mean
0;0;1952;0.0
1;1;1953;0.0
2;2;1954;0.0
3;3;1955;0.0
4;4;1956;0.0
5;5;1957;0.0
6;6;1958;0.0
7;7;1959;0.0
8;8;1960;0.0
9;9;1961;0.0
10;10;1962;0.0
11;11;1963;0.0
12;12;1964;0.0
13;13;1965;0.0
14;14;1966;0.0
15;15;1967;0.0
16;16;1968;0.0
17;17;1969;0.0
18;18;1970;0.0
19;19;1971;0.0
20;20;1972;0.0
21;21;1973;0.0
22;22;1974;0.0
23;23;1975;0.0
24;24;1976;0.0
25;25;1977;0.0
26;26;1978;0.0
27;27;1979;0.0
28;28;1980;0.0
29;29;1981;0.0
30;30;1982;0.0
31;31;1983;0.0
32;32;1984;0.0
33;33;1985;0.0
34;34;1986;0.0
35;35;1987;0.0
36;36;1988;0.0
37;37;1989;0.0
38;38;1990;0.0
39;39;1991;0.0
40;40;1992;0.0
41;41;1993;0.0
42;42;1994;0.0
43;43;1995;0.0
44;44;1996;0.0
45;45;1997;0.0
46;46;1998;0.0
47;47;1999;0.0
48;48;2000;0.0
49;49;2001;0.0
50;50;2002;0.0
51;51;2003;0.0
52;52;2004;0.0
53;53;2005;0.0
54;54;2006;0.0
55;55;2007;0.0
56;56;2008;0.0
57;57;2009;0.0
58;58;2010;0.0
59;59;2011;0.0
60;60;2012;0.0
61;61;2013;0.0
62;62;2014;0.0
63;63;2015;0.0
64;64;2016;0.0
65;65;2017;0.0
66;66;2018;0.0
67;67;2019;0.0
68;68;2020;0.0
69;69;2021;0.0
70;70;2022;0.0
71;71;2023;0.0
72;72;2024;0.0
73;73;2025;0.0803474999999394
