;index;YEAR;VAR1_mean
0;0;1952;0.3669854999999817
1;1;1953;0.3647635000000343
2;2;1954;0.3647635000000343
3;3;1955;0.3847615000000667
4;4;1956;0.3719849999999899
5;5;1957;0.3675410000000949
6;6;1958;0.3647635000000343
7;7;1959;0.3853170000001799
8;8;1960;0.3669854999999817
9;9;1961;0.3730960000000899
10;10;1962;0.3647635000000343
11;11;1963;0.3847615000000667
12;12;1964;0.3669854999999817
13;13;1965;0.3647635000000343
14;14;1966;0.3647635000000343
15;15;1967;0.3975380000000171
16;16;1968;0.460864999999909
17;17;1969;0.3647635000000343
18;18;1970;0.3647635000000343
19;19;1971;0.3847615000000667
20;20;1972;0.3436544999999019
21;21;1973;0.3647635000000343
22;22;1974;0.3647635000000343
23;23;1975;0.3847615000000667
24;24;1976;0.3719849999999899
25;25;1977;0.4508660000000192
26;26;1978;0.226999500000008
27;27;1979;0.3847615000000667
28;28;1980;0.4275349999999394
29;29;1981;0.4603095000000484
30;30;1982;0.3730960000000899
31;31;1983;0.3847615000000667
32;32;1984;0.3669854999999817
33;33;1985;0.3925385000000091
34;34;1986;0.3647635000000343
35;35;1987;0.3847615000000667
36;36;1988;0.3697630000000423
37;37;1989;0.3475429999999363
38;38;1990;0.3647635000000343
39;39;1991;0.511415500000103
40;40;1992;0.5869634999998322
41;41;1993;0.3647635000000343
42;42;1994;0.3647635000000343
43;43;1995;0.3847615000000667
44;44;1996;0.3719849999999899
45;45;1997;0.3647635000000343
46;46;1998;0.617515999999994
47;47;1999;0.0
48;48;2000;0.3669854999999817
49;49;2001;0.3647635000000343
50;50;2002;0.3647635000000343
51;51;2003;0.527525000000101
52;52;2004;0.5864079999999717
53;53;2005;0.3647635000000343
54;54;2006;0.3769844999999979
55;55;2007;0.5180815000000717
56;56;2008;0.3492095000000232
57;57;2009;0.3647635000000343
58;58;2010;0.3647635000000343
59;59;2011;0.3847615000000667
60;60;2012;0.6975079999999969
61;61;2013;0.6747324999999039
62;62;2014;0.3719850000001161
63;63;2015;0.3714295000000029
64;64;2016;0.3719850000001161
65;65;2017;0.3719850000001161
66;66;2018;0.3719850000001161
67;67;2019;0.3719850000001161
68;68;2020;0.3719850000001161
69;69;2021;0.6147384999999332
70;70;2022;1.0
71;71;2023;0.3719850000001161
72;72;2024;0.5180814999999455
73;73;2025;0.8336055000000626
