;index;YEAR;VAR1;VAR2;VAR3
0;0;1976;5729.639999999999;7360.0;13089.64
1;1;1977;6234.84;6853.240000000001;13088.08
2;2;1978;6360.56;6768.8;13129.36
3;3;1979;6928.5599999999995;6253.0;13181.56
4;4;1980;7380.4800000000005;5791.240000000001;13171.72
5;5;1981;4931.92;5755.400000000001;10687.32
6;6;1982;5420.68;5267.36;10688.04
7;7;1983;5884.639999999999;4811.32;10695.960000000001
8;8;1984;6364.719999999999;6629.320000000001;12994.039999999999
9;9;1985;6940.400000000001;6055.12;12995.52
10;10;1986;7070.320000000001;5927.84;12998.16
11;11;1987;7475.36;5642.56;13117.919999999998
12;12;1988;6942.16;5467.84;12410.0
13;13;1989;7106.080000000001;5126.12;12232.199999999999
14;14;1990;7142.96;5096.12;12239.08
15;15;1991;7149.24;5093.96;12243.2
16;16;1992;7198.360000000001;5821.32;13019.68
17;17;1993;7201.96;5817.72;13019.68
18;18;1994;7204.24;5821.360000000001;13025.599999999999
19;19;1995;7261.16;5764.56;13025.72
20;20;1996;8352.28;4542.88;12895.16
21;21;1997;8511.04;4381.12;12892.16
22;22;1998;8566.6;4332.36;12898.960000000001
23;23;1999;7279.12;4292.92;11572.04
24;24;2000;7285.120000000001;4290.0;11575.12
25;25;2001;7317.240000000001;4258.0;11575.24
26;26;2002;7763.400000000001;5199.76;12963.16
27;27;2003;8037.76;4929.56;12967.32
28;28;2004;7197.639999999999;3799.24;10996.88
29;29;2005;7218.360000000001;3779.6800000000003;10998.039999999999
30;30;2006;7320.68;3680.04;11000.720000000001
31;31;2007;7334.92;5490.68;12825.6
32;32;2008;7389.4400000000005;5413.84;12803.28
33;33;2009;7460.4800000000005;5343.6;12804.08
34;34;2010;7846.68;4958.5199999999995;12805.2
35;35;2011;8126.64;4558.8;12685.44
36;36;2012;8137.88;4547.92;12685.800000000001
37;37;2013;8145.0;4585.04;12730.039999999999
38;38;2014;8143.48;4877.4;13020.880000000001
39;39;2015;8142.4400000000005;4917.88;13060.32
40;40;2016;8141.64;4931.08;13072.720000000001
41;41;2017;8140.72;4932.28;13073.0
42;42;2018;8176.76;4905.5599999999995;13082.32
43;43;2019;8297.0;4785.360000000001;13082.36
44;44;2020;8298.96;4783.64;13082.599999999999
45;45;2021;8407.44;4567.360000000001;12974.8
46;46;2022;8466.96;3720.7200000000003;12187.679999999998
47;47;2023;8508.08;3676.04;12184.119999999999
48;48;2024;8512.36;3701.2799999999997;12213.64
