;index;YEAR;VAR1;VAR2;VAR3
0;0;1976;1261.0;7229.6;8490.6
1;1;1977;542.72;1388.12;1930.8400000000001
2;2;1978;178.32000000000002;1193.6;1371.92
3;3;1979;287.44;768.3199999999999;1055.76
4;4;1980;297.08000000000004;1247.04;1544.12
5;5;1981;4.48;364.2;368.68
6;6;1982;3.8;348.00000000000006;351.8
7;7;1983;10.16;352.76;362.92
8;8;1984;3.3200000000000003;4980.0;4983.32
9;9;1985;4.04;5007.96;5012.0
10;10;1986;5.24;4436.52;4441.76
11;11;1987;5.84;8289.48;8295.32
12;12;1988;3.0;1057.48;1060.48
13;13;1989;0.08;1297.1200000000001;1297.2
14;14;1990;0.32;1418.8;1419.1200000000001
15;15;1991;0.32;4090.6000000000004;4090.92
16;16;1992;0.52;5591.64;5592.16
17;17;1993;0.84;4465.0;4465.84
18;18;1994;0.88;4631.16;4632.04
19;19;1995;66.64;9006.48;9073.119999999999
20;20;1996;43.72;2782.28;2826.0
21;21;1997;37.32;2786.24;2823.56
22;22;1998;50.32;2773.2799999999997;2823.6
23;23;1999;0.84;263.12;263.96
24;24;2000;0.8;256.44;257.24
25;25;2001;0.8;256.44;257.24
26;26;2002;0.76;1696.8799999999999;1697.6399999999999
27;27;2003;0.8;1606.96;1607.76
28;28;2004;0.76;214.08;214.84
29;29;2005;0.88;383.0;383.88
30;30;2006;0.96;384.48;385.44
31;31;2007;1.0;5181.6;5182.6
32;32;2008;1.0;1780.6399999999999;1781.6399999999999
33;33;2009;1.0;1792.6;1793.6
34;34;2010;1.0;1792.16;1793.16
35;35;2011;1.0;2166.7200000000003;2167.7200000000003
36;36;2012;1.0;2177.96;2178.96
37;37;2013;1.0;4840.719999999999;4841.719999999999
38;38;2014;1.12;9617.24;9618.36
39;39;2015;1.16;10312.56;10313.72
40;40;2016;2.24;9305.08;9307.32
41;41;2017;3.0;9303.12;9306.12
42;42;2018;14.52;8741.8;8756.32
43;43;2019;86.52000000000001;4565.200000000001;4651.72
44;44;2020;126.4;4526.360000000001;4652.76
45;45;2021;157.36;4452.36;4609.72
46;46;2022;36.160000000000004;3125.6;3161.76
47;47;2023;16.72;3129.6800000000003;3146.4
48;48;2024;28.439999999999998;3117.96;3146.4
