;index;YEAR;VAR1_sum;VAR2_sum;VAR3_sum
0;0;1976;5183.84;6627.76;11811.6
1;1;1977;5655.36;6141.4400000000005;11796.8
2;2;1978;6129.08;5185.2;11314.28
3;3;1979;6516.28;4813.0;11329.28
4;4;1980;6536.4400000000005;4653.08;11189.52
5;5;1981;4471.36;4480.08;8951.44
6;6;1982;4982.56;3968.92;8951.48
7;7;1983;5368.32;3641.56;9009.88
8;8;1984;5712.72;5993.12;11705.84
9;9;1985;6008.68;5701.72;11710.4
10;10;1986;6355.32;5303.36;11658.68
11;11;1987;6379.72;5338.8;11718.52
12;12;1988;6177.6;4902.32;11079.92
13;13;1989;6281.84;4868.4800000000005;11150.32
14;14;1990;6292.400000000001;4880.24;11172.64
15;15;1991;6292.16;4910.08;11202.24
16;16;1992;6397.84;5309.84;11707.68
17;17;1993;6395.360000000001;5312.36;11707.72
18;18;1994;6400.92;5330.36;11731.28
19;19;1995;6402.32;5375.4400000000005;11777.76
20;20;1996;6485.0;5212.400000000001;11697.4
21;21;1997;6488.32;5203.36;11691.68
22;22;1998;6698.68;4993.88;11692.56
23;23;1999;6366.8;2561.16;8927.960000000001
24;24;2000;6372.72;2560.64;8933.36
25;25;2001;6375.2;2558.2000000000003;8933.4
26;26;2002;6395.28;5126.68;11521.96
27;27;2003;6392.8;5132.84;11525.64
28;28;2004;6297.6;2225.2000000000003;8522.8
29;29;2005;6300.04;2234.28;8534.32
30;30;2006;6399.08;2195.4;8594.48
31;31;2007;6405.64;4714.88;11120.52
32;32;2008;6414.360000000001;4776.68;11191.04
33;33;2009;6421.24;4780.56;11201.8
34;34;2010;6443.2;4706.16;11149.36
35;35;2011;6466.6;4966.04;11432.64
36;36;2012;6470.84;4963.28;11434.12
37;37;2013;6472.56;5196.2;11668.76
38;38;2014;6471.88;5263.28;11735.16
39;39;2015;6472.360000000001;5324.56;11796.92
40;40;2016;6471.32;5350.12;11821.44
41;41;2017;6470.6;5351.2;11821.8
42;42;2018;6470.6;5367.76;11838.36
43;43;2019;6468.68;5369.68;11838.36
44;44;2020;6466.84;5371.56;11838.4
45;45;2021;6607.6;5126.56;11734.16
46;46;2022;6933.16;3947.04;10880.2
47;47;2023;6476.64;4317.52;10794.16
48;48;2024;6474.96;4319.2;10794.16
