;index;YEAR;VAR1_sum;VAR2_sum;VAR3_sum
0;0;1976;550.28;1158.12;1708.4
1;1;1977;584.76;1059.64;1644.4
2;2;1978;598.08;1058.28;1656.36
3;3;1979;608.48;1041.08;1649.56
4;4;1980;623.72;1026.84;1650.56
5;5;1981;570.0;678.72;1248.72
6;6;1982;574.72;674.2;1248.92
7;7;1983;583.4;666.12;1249.52
8;8;1984;598.52;735.8000000000001;1334.32
9;9;1985;615.96;718.88;1334.84
10;10;1986;618.76;715.76;1334.52
11;11;1987;624.24;710.72;1334.96
12;12;1988;624.0;710.76;1334.76
13;13;1989;634.6;700.2;1334.8
14;14;1990;636.16;699.16;1335.32
15;15;1991;637.44;698.08;1335.52
16;16;1992;638.48;697.08;1335.56
17;17;1993;642.76;692.8000000000001;1335.56
18;18;1994;643.0;692.64;1335.64
19;19;1995;643.04;692.6;1335.64
20;20;1996;669.5600000000001;666.12;1335.68
21;21;1997;670.12;664.96;1335.08
22;22;1998;670.12;669.72;1339.84
23;23;1999;670.36;669.48;1339.84
24;24;2000;673.64;666.8000000000001;1340.44
25;25;2001;673.64;666.8000000000001;1340.44
26;26;2002;673.84;665.88;1339.72
27;27;2003;673.96;665.76;1339.72
28;28;2004;673.48;658.6;1332.08
29;29;2005;673.92;658.88;1332.8
30;30;2006;674.48;658.4;1332.88
31;31;2007;674.52;665.0;1339.52
32;32;2008;674.64;664.96;1339.6
33;33;2009;675.6;663.8000000000001;1339.4
34;34;2010;675.6800000000001;669.4;1345.08
35;35;2011;675.6800000000001;665.72;1341.4
36;36;2012;675.92;665.6800000000001;1341.6
37;37;2013;675.96;666.2;1342.16
38;38;2014;676.16;668.52;1344.68
39;39;2015;676.08;669.5600000000001;1345.64
40;40;2016;675.92;669.76;1345.68
41;41;2017;675.6800000000001;670.04;1345.72
42;42;2018;675.6;670.16;1345.76
43;43;2019;675.24;670.52;1345.76
44;44;2020;674.76;670.96;1345.72
45;45;2021;674.76;670.96;1345.72
46;46;2022;675.52;670.2;1345.72
47;47;2023;675.32;669.72;1345.04
48;48;2024;676.4;698.16;1374.56
