;index;YEAR;VAR1_sum;VAR2_sum;VAR3_sum
0;0;1976;441.12;670.48;1111.6
1;1;1977;24.04;763.36;787.4
2;2;1978;7.4;752.4;759.8000000000001
3;3;1979;7.8;442.0;449.8
4;4;1980;7.68;480.44;488.12
5;5;1981;1.04;68.52;69.56
6;6;1982;0.4;69.60000000000001;70.0
7;7;1983;0.4;79.4;79.8
8;8;1984;0.0;1089.96;1089.96
9;9;1985;0.04;1091.08;1091.12
10;10;1986;0.04;1112.68;1112.72
11;11;1987;0.04;1938.6;1938.64
12;12;1988;0.0;1054.68;1054.68
13;13;1989;0.04;1132.92;1132.96
14;14;1990;0.16;1134.24;1134.4
15;15;1991;0.16;1983.28;1983.44
16;16;1992;0.52;1167.0;1167.52
17;17;1993;0.84;1166.44;1167.28
18;18;1994;0.88;1166.68;1167.56
19;19;1995;66.64;1693.24;1759.88
20;20;1996;43.72;788.32;832.04
21;21;1997;37.32;794.72;832.04
22;22;1998;50.32;781.72;832.04
23;23;1999;0.84;258.04;258.88
24;24;2000;0.8;256.44;257.24
25;25;2001;0.8;256.44;257.24
26;26;2002;0.76;469.76;470.52
27;27;2003;0.8;373.64;374.44
28;28;2004;0.76;214.08;214.84
29;29;2005;0.88;382.88;383.76
30;30;2006;0.96;384.36;385.32
31;31;2007;1.0;1565.04;1566.04
32;32;2008;1.0;721.84;722.84
33;33;2009;1.0;724.24;725.24
34;34;2010;1.0;724.24;725.24
35;35;2011;1.0;1043.24;1044.24
36;36;2012;1.0;1054.24;1055.24
37;37;2013;1.0;1066.12;1067.12
38;38;2014;1.12;1874.6;1875.72
39;39;2015;1.16;2347.44;2348.6
40;40;2016;2.24;1726.16;1728.4
41;41;2017;3.0;1725.4;1728.4
42;42;2018;3.08;1727.88;1730.96
43;43;2019;3.56;1252.44;1256.0
44;44;2020;4.4;1252.56;1256.96
45;45;2021;4.4;1209.36;1213.76
46;46;2022;4.0;1074.44;1078.44
47;47;2023;4.16;1074.32;1078.48
48;48;2024;5.4;1073.08;1078.48
