;index;YEAR;VAR1_sum;VAR2_sum;VAR3_sum
0;0;1976;819.88;6559.12;7379.0
1;1;1977;518.6800000000001;624.76;1143.44
2;2;1978;170.92000000000002;441.2;612.12
3;3;1979;279.64;326.32;605.96
4;4;1980;289.40000000000003;766.6;1056.0
5;5;1981;3.44;295.68;299.12
6;6;1982;3.4;278.40000000000003;281.8
7;7;1983;9.76;273.36;283.12
8;8;1984;3.3200000000000003;3890.04;3893.36
9;9;1985;4.0;3916.88;3920.88
10;10;1986;5.2;3323.84;3329.04
11;11;1987;5.8;6350.88;6356.68
12;12;1988;3.0;2.8000000000000003;5.8
13;13;1989;0.04;164.20000000000002;164.24
14;14;1990;0.16;284.56;284.72
15;15;1991;0.16;2107.32;2107.48
16;16;1992;0.0;4424.64;4424.64
17;17;1993;0.0;3298.56;3298.56
18;18;1994;0.0;3464.48;3464.48
19;19;1995;0.0;7313.24;7313.24
20;20;1996;0.0;1993.96;1993.96
21;21;1997;0.0;1991.52;1991.52
22;22;1998;0.0;1991.56;1991.56
23;23;1999;0.0;5.08;5.08
24;24;2000;0.0;0.0;0.0
25;25;2001;0.0;0.0;0.0
26;26;2002;0.0;1227.12;1227.12
27;27;2003;0.0;1233.32;1233.32
28;28;2004;0.0;0.0;0.0
29;29;2005;0.0;0.12;0.12
30;30;2006;0.0;0.12;0.12
31;31;2007;0.0;3616.56;3616.56
32;32;2008;0.0;1058.8;1058.8
33;33;2009;0.0;1068.36;1068.36
34;34;2010;0.0;1067.92;1067.92
35;35;2011;0.0;1123.48;1123.48
36;36;2012;0.0;1123.72;1123.72
37;37;2013;0.0;3774.6;3774.6
38;38;2014;0.0;7742.64;7742.64
39;39;2015;0.0;7965.12;7965.12
40;40;2016;0.0;7578.92;7578.92
41;41;2017;0.0;7577.72;7577.72
42;42;2018;11.44;7013.92;7025.360000000001
43;43;2019;82.96000000000001;3312.76;3395.7200000000003
44;44;2020;122.0;3273.8;3395.8
45;45;2021;152.96;3243.0;3395.96
46;46;2022;32.160000000000004;2051.16;2083.32
47;47;2023;12.56;2055.36;2067.92
48;48;2024;23.04;2044.88;2067.92
