;index;YEAR;VAR1;VAR2;VAR3
0;0;1977;6567.8;5069.12;4796.0
1;1;1978;10178.72;5445.44;4733.8
2;2;1979;9515.32;5074.4;4769.92
3;3;1980;5643.76;5141.360000000001;4942.639999999999
4;4;1981;10301.119999999999;4652.24;4053.5200000000004
5;5;1982;10037.240000000002;6334.5199999999995;5403.52
6;6;1983;10066.92;6060.76;5351.92
7;7;1984;11039.84;6600.04;5800.6
8;8;1985;13926.6;8550.64;8039.280000000001
9;9;1986;11299.439999999999;5841.4800000000005;5389.880000000001
10;10;1987;8074.08;6780.24;6147.120000000001
11;11;1988;10387.4;5088.5199999999995;4795.6
12;12;1989;10089.72;5131.0;4181.24
13;13;1990;8522.52;4245.56;3944.88
14;14;1991;9900.44;4868.84;3917.16
15;15;1992;8155.64;4031.76;3081.24
16;16;1993;13589.640000000001;7100.88;6590.76
17;17;1994;8621.32;4368.5199999999995;3416.84
18;18;1995;8568.92;4244.88;3164.2400000000002
19;19;1996;9615.48;6193.280000000001;5989.32
20;20;1997;6124.84;2620.84;2260.16
21;21;1998;5931.6;4322.92;3720.96
22;22;1999;11592.080000000002;4810.4400000000005;4203.8
23;23;2000;11160.64;5387.24;4087.3599999999997
24;24;2001;17611.68;11131.76;10836.2
25;25;2002;8827.6;4407.4;4324.96
26;26;2003;5761.08;5094.280000000001;4932.52
27;27;2004;12149.96;5485.72;4879.04
28;28;2005;13449.64;7573.32;7358.64
29;29;2006;11260.4;5459.6;4944.56
30;30;2007;10707.12;4657.64;2799.44
31;31;2008;18056.68;11070.36;10735.36
32;32;2009;11830.08;6184.08;6058.400000000001
33;33;2010;12865.92;6279.92;4810.64
34;34;2011;11261.84;5455.16;4789.16
35;35;2012;10922.640000000001;4944.8;3612.8
36;36;2013;8457.92;3652.04;3493.4
37;37;2014;8079.880000000001;6072.32;5721.5599999999995
38;38;2015;12731.4;5735.92;5300.0
39;39;2016;11671.12;4861.96;4042.72
40;40;2017;11978.48;5525.92;4211.28
41;41;2018;12947.36;5692.280000000001;5128.52
42;42;2019;10923.44;4485.84;3773.3199999999997
43;43;2020;13317.8;6294.4800000000005;5618.76
44;44;2021;9920.560000000001;3901.76;3451.12
45;45;2022;26875.760000000002;18661.8;13929.24
46;46;2023;9413.8;4038.84;3759.12
47;47;2024;11262.52;5295.76;3830.6800000000003
