;index;YEAR;VAR1;VAR2;VAR3
0;0;1977;5573.96;5573.96;5245.84
1;1;1978;9589.68;9231.0;7935.84
2;2;1979;13862.92;13782.400000000001;13151.6
3;3;1980;5978.08;5978.08;5940.24
4;4;1981;6514.48;6437.16;5811.72
5;5;1982;7001.08;6998.120000000001;6127.52
6;6;1983;5370.52;5368.64;4684.64
7;7;1984;11372.88;11363.36;6165.280000000001
8;8;1985;13168.08;13164.92;12351.24
9;9;1986;15101.52;15099.080000000002;11869.68
10;10;1987;6124.88;6124.88;6059.4800000000005
11;11;1988;5088.5199999999995;5088.5199999999995;5046.719999999999
12;12;1989;9649.04;9646.080000000002;8933.28
13;13;1990;9315.32;9315.28;4221.0
14;14;1991;4735.8;4735.8;4558.56
15;15;1992;4007.16;4007.08;3748.76
16;16;1993;6522.4400000000005;6522.32;5384.52
17;17;1994;6742.24;6742.200000000001;4536.84
18;18;1995;4214.0;4214.0;4176.0
19;19;1996;15048.800000000001;14984.480000000001;13460.68
20;20;1997;7234.4400000000005;7209.84;6861.08
21;21;1998;4244.32;4244.32;4155.72
22;22;1999;7372.880000000001;7338.200000000001;6910.280000000001
23;23;2000;5726.76;5726.68;4539.56
24;24;2001;18763.120000000003;18762.32;16911.04
25;25;2002;9026.72;9026.72;7199.12
26;26;2003;3665.48;3665.48;3560.5600000000004
27;27;2004;10846.8;10846.4;10403.84
28;28;2005;15939.44;15938.8;15075.56
29;29;2006;11471.8;11471.8;10502.92
30;30;2007;4914.4400000000005;4914.04;4109.24
31;31;2008;17490.600000000002;17489.600000000002;16255.68
32;32;2009;20525.4;20524.52;17774.879999999997
33;33;2010;5889.0;5888.4400000000005;4864.4
34;34;2011;9243.2;9242.800000000001;8799.76
35;35;2012;8224.32;8224.28;5564.8
36;36;2013;10146.16;10145.28;8780.0
37;37;2014;8432.64;8432.48;7840.92
38;38;2015;7348.16;7347.92;5500.76
39;39;2016;6650.960000000001;6650.76;6377.6
40;40;2017;7562.92;7562.36;7334.72
41;41;2018;5386.2;5385.08;5178.44
42;42;2019;7836.4400000000005;7824.799999999999;7290.4400000000005
43;43;2020;8581.52;8519.6;8346.400000000001
44;44;2021;8103.68;8100.280000000001;7911.4800000000005
45;45;2022;24851.6;24695.24;20415.36
46;46;2023;13947.84;13913.440000000002;10547.64
47;47;2024;14450.56;14438.28;7015.6
