;index;YEAR;VAR1_sum;VAR2_sum;VAR3_sum
0;0;1977;1476.92;1047.8;1030.68
1;1;1978;1288.56;1019.16;790.44
2;2;1979;1253.72;849.24;824.6
3;3;1980;1030.64;658.96;508.4
4;4;1981;1170.88;824.0;761.24
5;5;1982;1272.88;989.2;773.12
6;6;1983;1159.36;848.08;777.2
7;7;1984;1452.72;1158.2;929.48
8;8;1985;1815.32;1427.52;1070.4
9;9;1986;1400.72;1061.8;922.48
10;10;1987;1772.2;1330.32;761.5600000000001
11;11;1988;1357.68;1031.8;806.84
12;12;1989;1272.4;993.68;764.88
13;13;1990;1013.2;727.76;663.88
14;14;1991;1234.76;972.8;744.08
15;15;1992;1019.64;819.88;591.12
16;16;1993;1686.52;1230.2;1157.76
17;17;1994;1108.44;907.28;678.5600000000001
18;18;1995;1378.48;1101.12;711.84
19;19;1996;1423.16;1069.68;1059.0
20;20;1997;714.64;537.36;467.24
21;21;1998;1652.96;1178.68;601.96
22;22;1999;1315.88;937.04;866.32
23;23;2000;1703.16;1288.84;871.72
24;24;2001;3068.36;2497.48;2379.24
25;25;2002;1048.32;654.36;624.76
26;26;2003;1064.8;545.84;468.96
27;27;2004;1518.0;1107.2;1036.44
28;28;2005;1755.88;1298.04;1241.68
29;29;2006;1317.4;924.12;853.2
30;30;2007;1722.24;1273.36;775.52
31;31;2008;3264.36;2646.32;2473.6
32;32;2009;1592.0;1090.2;1074.8
33;33;2010;1740.48;1223.52;857.76
34;34;2011;1497.84;1129.28;907.16
35;35;2012;1675.2;1250.48;832.84
36;36;2013;1037.72;653.4;619.48
37;37;2014;2146.48;1635.2;1581.4
38;38;2015;1623.56;1112.4;1079.16
39;39;2016;1720.0;1291.84;880.08
40;40;2017;1774.76;1329.08;917.32
41;41;2018;1701.6;1135.56;1103.72
42;42;2019;1288.52;951.2;728.16
43;43;2020;1720.84;1245.92;1175.52
44;44;2021;1347.88;878.32;842.76
45;45;2022;3981.2;3396.4;2821.0
46;46;2023;1553.8;1137.56;1125.84
47;47;2024;1948.96;1565.6;1163.72
