;index;YEAR;VAR1_sum;VAR2_sum;VAR3_sum
0;0;1977;5090.88;4021.32;3765.32
1;1;1978;8890.16;4426.28;3943.36
2;2;1979;8261.6;4225.16;3945.32
3;3;1980;4613.12;4482.400000000001;4434.24
4;4;1981;9130.24;3828.24;3292.28
5;5;1982;8764.36;5345.32;4630.400000000001
6;6;1983;8907.56;5212.68;4574.72
7;7;1984;9587.12;5441.84;4871.12
8;8;1985;12111.28;7123.12;6968.88
9;9;1986;9898.72;4779.68;4467.400000000001
10;10;1987;6301.88;5449.92;5385.56
11;11;1988;9029.72;4056.72;3988.76
12;12;1989;8817.32;4137.32;3416.36
13;13;1990;7509.32;3517.8;3281.0
14;14;1991;8665.68;3896.04;3173.08
15;15;1992;7136.0;3211.88;2490.12
16;16;1993;11903.12;5870.68;5433.0
17;17;1994;7512.88;3461.24;2738.28
18;18;1995;7190.4400000000005;3143.76;2452.4
19;19;1996;8192.32;5123.6;4930.32
20;20;1997;5410.2;2083.48;1792.92
21;21;1998;4278.64;3144.24;3119.0
22;22;1999;10276.2;3873.4;3337.48
23;23;2000;9457.48;4098.4;3215.64
24;24;2001;14543.32;8634.28;8456.960000000001
25;25;2002;7779.28;3753.04;3700.2
26;26;2003;4696.28;4548.4400000000005;4463.56
27;27;2004;10631.96;4378.52;3842.6
28;28;2005;11693.76;6275.28;6116.96
29;29;2006;9943.0;4535.4800000000005;4091.36
30;30;2007;8984.880000000001;3384.28;2023.92
31;31;2008;14792.32;8424.04;8261.76
32;32;2009;10238.08;5093.88;4983.6
33;33;2010;11125.44;5056.400000000001;3952.88
34;34;2011;9764.0;4325.88;3882.0
35;35;2012;9247.44;3694.32;2779.96
36;36;2013;7420.2;2998.64;2873.92
37;37;2014;5933.400000000001;4437.12;4140.16
38;38;2015;11107.84;4623.52;4220.84
39;39;2016;9951.12;3570.12;3162.64
40;40;2017;10203.72;4196.84;3293.96
41;41;2018;11245.76;4556.72;4024.8
42;42;2019;9634.92;3534.64;3045.16
43;43;2020;11596.96;5048.56;4443.24
44;44;2021;8572.68;3023.44;2608.36
45;45;2022;22894.56;15265.4;11108.24
46;46;2023;7860.0;2901.28;2633.28
47;47;2024;9313.56;3730.16;2666.96
