;index;YEAR;VAR1_sum;VAR2_sum;VAR3_sum
0;0;1977;4465.72;4465.72;4412.84
1;1;1978;8817.72;8472.28;7250.6
2;2;1979;10253.08;10175.52;10013.36
3;3;1980;4793.56;4793.56;4775.68
4;4;1981;3900.24;3823.48;3485.0
5;5;1982;4250.6;4247.68;3674.8
6;6;1983;4544.4400000000005;4542.56;3899.76
7;7;1984;9825.32;9815.84;4622.56
8;8;1985;11533.64;11530.48;10800.24
9;9;1986;11683.64;11681.2;8963.2
10;10;1987;5212.52;5212.52;5176.84
11;11;1988;4048.24;4048.24;4014.64
12;12;1989;8368.0;8365.04;7663.76
13;13;1990;7817.92;7817.88;2729.28
14;14;1991;3288.04;3288.04;3147.28
15;15;1992;2616.68;2616.64;2415.04
16;16;1993;5034.76;5034.76;3987.36
17;17;1994;5772.72;5772.72;3617.52
18;18;1995;3416.36;3416.36;3392.0
19;19;1996;11748.04;11748.04;10549.48
20;20;1997;4960.52;4960.52;4760.76
21;21;1998;3592.64;3592.64;3514.44
22;22;1999;5277.400000000001;5277.400000000001;4908.52
23;23;2000;4793.88;4793.88;3666.76
24;24;2001;14068.12;14068.12;13847.52
25;25;2002;8168.16;8168.16;6558.2
26;26;2003;3137.32;3137.32;3063.8
27;27;2004;7981.44;7981.44;7838.48
28;28;2005;12477.16;12477.16;12012.88
29;29;2006;8966.16;8966.16;8153.64
30;30;2007;3929.92;3929.92;3350.32
31;31;2008;13457.28;13457.28;13044.8
32;32;2009;16405.64;16405.64;14834.88
33;33;2010;4676.84;4676.84;3959.48
34;34;2011;7482.52;7482.52;7102.04
35;35;2012;6923.72;6923.72;4460.16
36;36;2013;7522.0;7522.0;6215.76
37;37;2014;5962.8;5962.8;5441.56
38;38;2015;6081.32;6081.32;4294.04
39;39;2016;4921.52;4921.52;4680.52
40;40;2017;5799.12;5799.12;5575.88
41;41;2018;4085.96;4085.96;3948.16
42;42;2019;5257.88;5247.2;4947.6
43;43;2020;6159.8;6097.88;6064.64
44;44;2021;5798.92;5795.52;5755.72
45;45;2022;18999.36;18847.36;17928.2
46;46;2023;9302.12;9271.04;7929.48
47;47;2024;12179.24;12167.0;5710.76
